date,description,sources,comments
1979,"**Project Blue Book** scientific advisor J. Allen Hynek states the CIA’s Robertson Panel was concerned of public reaction to UAP, and “handed down” the “unwritten law of the Air Force…don’t rock the boat, play it down, cool it, don’t get the public excited.” Hynek states the USAF purposefully debunked interesting cases as balloons, stars, etc, findings that then made their way to Congress and the public.",[],[]
1979,"Jacques Vallée states he is “convinced” the USG is still very much involved with UAP, but not limited to collection; it extends into close monitoring of UAP organizations, the staging of false sightings and the leaking of “false” documents.",[],[]
1979,"Dale Graff ran a smaller RV program at WPAFB, who employed the remote viewer Rosemary Smith (possibly mentioned in the VADM Wilson notes). Graff next moved to the Advanced Concepts Office at the DIA and tabloids suggest he was involved in the “dark side” of psi and ESP programs, including maintaining contact with the human designee of an extraterrestrial living in a subterranean facility near Washington, DC.",[],[]
1979,"Durward ‘Buddy’ Hack, CPO Radar Observer, claims to have accidentally entered a door of a large hangar that was unguarded at Naval Air Station in Sunnyvale, CA in 1950 and saw a large, round saucer with a row of windows. Haak disappeared with no trace on a flight out of San Diego in 1952, and the story was relayed by his family in 1979.",[],[]
February 1979,Rep. Horace Buckley’s Mississippi House Resolution No. 14 calls for a complete U.S. Senate investigation into UAP. It dies in committee. Lawmakers did not have,[],[]
16 February 1979,Memo from FBI SAC Albuquerque to FBI Director writes that New Mexico State Police officer Gabe Valdez claims the Department of Energy and Los Alamos National Laboratory are attempting to “cover up” the cattle mutilation phenomenon.,[],"['Sen. Schmitt ended up organizing a conference on the cattle mutilations in 1979, hosted by defense contractor BDM Intl. BDM also curiously employed former Dir. of Naval Intelligence RADM Sumner Shapiro, who told NASA engineer Bob Oechsler about reverse engineered UAP shipped to different government laboratories in a conversation in 1989. BDM also hosted the “Advance Theoretical Physics Conference” to study UAP under DOE supervision, see entry 20 May 1985 for more details. It is a natural question as to whether or not Sen. Schmitt’s cattle mutilation conference was able to reach any relevant conclusions given the involvement of a contractor possibly involved in deep black UAP work, possibly unbeknownst to Schmitt.']"
5 April 1979,"Robert Thompson, friend of former USAF Maj. Truman Weaver, states 13 bodies and two saucers are stored at a small air base at Hampton Roads, Virginia “if they have not been moved again.” He states they are in building 18F on the 3rd floor.",[],[]
May 1979,"Former special assistant to the Deputy Director of the CIA, Victor Marchetti, writes that “we have, indeed, been contacted — perhaps even visited — by extraterrestrial beings, and the U.S. government, in collusion with other national powers of the Earth, is determined to keep this information from the general public. He states the CIA does not discuss UAP openly because they are “sensitive activities,” and claims the NSA may have picked up signals intelligence related to crashed UAP. Marchetti states it is a cover-up.",[],[]
27 June 1979,"Anonymous informant claims in a forested area in southeastern Oregon near the Idaho border, near a hunter campsite, a UAP crash allegedly occurred on this date. The informant was charged with loading crates onto helicopters and by the time he arrived at the crash retrieval, the object had been removed from the deep ruts it created in the Earth and placed on a",[],[]
13 August 1979,"Ret. USAF member William Draeger of Austin, TX writes Leonard Stringfield and states he discovered information about a “UFO crash” 30 miles northwest of Del Rio, TX that supposedly occurred in 1950. Draeger states a ret. US Col. claims he saw the crashed craft being “guarded” by Mexican troops; he also claims he called a Mexican Army Gen. who commanded that specific area of the border told him “yes, I know about that…I don’t have any papers or documents to prove it, but due to my position I know about that.”",[],[]
September 1979,"NORAD replies to a FOIA request for UAP tracking data that a search will require over 18,000 man hours and cost $294,157. Three years later it refuses to waive the fees.",[],[]
July 1980,"AFOSI counterintelligence officer Richard C. Doty delivers a forged anonymous letter to U.S. civilian UAP investigative organization APRO. The fake letter claims a Civil Air Patrol cadet Craig R. Weitzel photographed a UAP landing near Pecos, NM. The letter claims Weitzel was soon visited by a man from the Department of Energy contractor, Sandia Laboratories, who told Weitzel the UAP was from Los Alamos National Laboratories and Weitzel shouldn’t have seen it.",[],[]
17 November 1980,"AFOSI counterintelligence officer Richard C. Doty delivers a forged document to physicist and Coast Guard veteran Paul F. Bennewitz. Doty states he was ordered by his superiors to confuse Bennewitz, who had observed an NSA laser project at Kirtland AFB from his own property near the base. Doty convinced Bennewitz what he saw was of paranormal origin, UFOs, and Bennewitz developed delusional paranoia and was committed to a psychiatric hospital as a result of AFOSI’s actions. Sen. Peter Domenici met with AFOSI; existing documentation suggests AFOSI may have also misled Domenici because it did not inform him of the disinformation targeted at Bennewitz.",[],"['Doty states he was ordered to create the disinformation. It is unconfirmed, but diaries written by former **Blue Book** contractor Jacques Vallée state Brigadier Gen. Peter J. Hennessy was the “top guy” above Doty. After Hennessy retired, he was a VP at Battelle.']"
18 November 1980,"U.S. civilian organization CAUS has sued the NSA for UAP documents. Chief Officer of Policy for the NSA, Eugene F. Yeates, writes two affidavits: the first an unclassified version that states the NSA’s UAP documents would compromise national security because they contain sensitive information regarding the interception of foreign communication; the second affidavit classified Top Secret Umbra is for Judge Gerhard A. Gesell, which he can only read with an “in camera” clearance. Judge Gesell sides with the NSA after reviewing the classified affidavit. This affidavit is later declassified with 25% redactions in 2014.",[],[]
14 December 1980,"“Larry W.” writes Leonard Stringfield and claims that while at Arizona State University in 1975, a classmate of his “Mr. DR,” told him he witnessed a UAP “capture or retrieval” in 1968 while in the Army attending intelligence school in a remote desert area of Texas, approximately 50 miles from Big Spring, TX.",[],[]
,**1980s Undefined** — The fake USG document AFOSI counterintelligence officer Richard C. Doty delivers to Bennewitz makes its way to the American public and is the subject of various books and media. Doty redirects attention away from AFOSI’s surveillance of U.S. citizens interested in UAP by claiming “NASA” investigated Bennewitz. It was later admitted the NSA investigated Bennewitz and Doty changed the description in the fake document.,[],"['AFOSI’s actions against U.S. citizens reduced trust in government among the domestic population over time, fueled anti-government conspiracy theories in popular media, and caused great confusion over who and what controlled access to UAP information after **Project Blue Book**.']"
,"**1980s** — AFOSI counterintelligence officer Richard C. Doty states the 7602nd Air Intelligence Group at Fort Belvoir, VA conducted psychological operations on U.S. citizens who inadvertently saw classified aerospace projects at the installation. Doty states the 7602nd would stage alien abductions and/or interactions to traumatize civilians near the base who witnessed USG or USG contractor projects.",[],['The term “milab” is used by ufologists and popular culture to describe a similar phenomena reported by some witnesses.']
July 1980,Sunn Classic Pictures releases the film Hangar 18 about a cover-up following a crashed UAP in Arizona; the craft in the story is taken to the fictional “Wolf AFB” in Texas where it is analyzed. The occupants are described as near-human and match a similar story told to Linda Moulton Howe by AFOSI counterintelligence agent Richard Doty at Kirtland AFB three years later.,[],[]
1981,"Lawyer Andrew Basiago claims he served in a DARPA **Project Pegasus** in the 1970s which utilized time travel technologies to view different segments of human history. Basiago claims beginning in 1981-1983, he and William B. Stillings worked in a building at 999 N. Sepulveda Boulevard in El Segundo, CA operated by Hughes Aircraft. Basiago claims there is a “jump room” at this location that allowed for full teleportation of humans to a network of different jump rooms.",[],"['Basiago reiterates these claims in public media and in a signed affidavit alleging **Project Pegasus** gave the DOD foreknowledge of the 9/11 attacks. Basiago claims knowledge of the “Montauk chair” (see 1971) and suggests programs utilize “time viewing” technology for intelligence purposes and a secret space program utilizes teleportation technology far advanced beyond those in the open source.', 'In the open source, quantum teleportation was first proposed in 1993 and achieved in 1997. Most recently, researchers have teleported information between atoms dozens of kilometers apart and have transferred information between clouds of gas atoms. A recent study at University of California also suggested human brains were ready for teleportation due to a unique natural behavior of the hippocampus. Still, Basiago’s claims are astounding and suggest teleportation technology in the black is hundreds of years ahead of open source, if true, though they may very well be false claims.']"
1982,"The daughter of “YR” states he worked for General Electric and accepted a contract job at WPAFB, where he and his assistant were taken by limousine, blindfolded, and taken to an underground level by elevator and taken to the work area. It was a morgue that was icy cold that had corpses inside glass cases, with humanoids who were short with clammy skin like a reptile and a head was like a frog, and webs on the hands.",[],[]
1982,"USAF Col. “RC,” who founded a UFO group APRON, states his fiancé’s car was forced off the road in Las Vegas and his apartment was burglarized, with the things missing being Stringfield’s books. RC states he and his fiancé moved to Pensacola, FL and his fiancé was later killed in a car crash near Singing Sands, FL where she was forced off the road in a hit and run. RC agreed to meet three men at an airport about UFOs and then never contacted Stringfield again.",[],[]
1982,"A USAF Capt. states while stationed at Fort Hood, in the late 1960s a pilot had to make a forced landing over a restricted air corridor at Gray AAF/Robert Gray Field. The pilot saw a huge section of land separating like giant sliding doors with vegetation intact revealing a huge corridor inside; the pilot was blindfolded and taken into the jeep inside the underground complex, inside a long corridor and interrogated by two men. He was blindfolded again where his aircraft was refused for him and was told not to speak of the incident.",[],[]
1982,"Kit Green states he hired a retired senior USAF officer who was a physician to work on a science board at the CIA. This man told Green “the stories about alien incursions, recoveries and information are true.” He told Green he would clear him for the programs, but this never happened.",[],[]
25 February 1982,Civilian FOIA organized Ground Saucer Watch never receives a response from the State Department’s Bureau of Oceans and International Environmental and Scientific Affairs (OES).,[],"['Declassified documents show OES regularly monitored space debris and UAP, and a cable to Rep. Bill Archer from OES discussed “Arrangements to Welcome Extraterrestrial Life Forms to the U.S.” The State Dept. also coordinated crash recovery efforts with USAF Projects Moon Dust and Blue Fly with OES and the Bureau of Intelligence and Research (INR).']"
6 April 1982,NASA scientist Richard F. Haines tells Jacques Vallée he visited Vandenberg AFB and came back “certain” there was a secret government project to study UAP.,[],[]
July 1982,"Head of the US Army’s remote viewing program Skip Atwater discovers intelligence information generated by contractor SRI International and a remote viewer, Pat Price, in 1973. Price believed there were “underground” bases in which UAP emanated from. Atwater attempted to corroborate these claims and did, using Army personnel outside of USG work hours.",[],[]
29 September 1982,"Hal Puthoff tells Jacques Vallée that he had a friend at Sandia whose uncle-in-law was said to have studied a crashed saucer in the 1950s and duplicated an antigravity device; Hal states the uncle-in-law was found hanged with his hands tied behind his back and his lab in shambles. The man placed his plans in a bank safe but when his family tried to access it, the bank told them “government men bearing official identification” had opened the box and confiscated the contents.",[],[]
1983,"Col. John B. Alexander and the US Army Intelligence and Security Command (INSCOM) analyzes the “Hutchison Effect,” a purported method to generate antigravity and materials cloaking. The group included Pharos Technologies, Alexis Pezarro, John Hutchison, George Hathaway, Alexander, two scientists from Los Alamos National Laboratory and representatives from the Office of Naval Research (ONR) and Army R&D.",[],"['It is possible the Hutchison effect was accidentally tapping into quantum vacuum energy, or the zero point energy field. Uncontrolled, this energy could be used as a weapon; controlled, it could be a stable power source.', 'Hathaway was one of the scientists tasked with writing a Defense Intelligence Reference Document for the 2009 **AAWSAP**/**AATIP** program.', 'The head of INSCOM at the time was Gen. Albert Stubblebine, who utilized the Monroe Institute to train his officers in ways to improve their psychic performance. In 1984, Maj. Gen. Harry Soyster replaces Stubblebine, a former VP of Intelligence Systems at BDM Intl. and']"
1983,"Projects **Phoenix**, **Phoenix II** and **Rainbow** allegedly occur at Camp Hero in Montauk, NY. Remote viewer of interest to the CIA Uri Geller claims the projects utilized radio, microwaves and EHF to determine if the behavior of different population groups could be affected.",[],"['CIA documentation shows remote viewing programs **Center Lane**, **Grill Flame**, **Gondola Wish**, **Sun Streak**, **Scanate** and **Star Gate** were run by contractor SRI International in the 1970s and 1980s. No documentation exists for experiments allegedly conducted at Montauk, however.']"
29 November 1983,"A letter from Robert I Sarbacher, physicist who consulted to the DOD Research and Development Board (RDB) in the 1950s, states he had no direct association with people involved in the “recovery” of UAP, but he believes John von Neuman was “definitely” involved, as was Vannevar Bush and Robert Oppenheimer.",[],[]
11 March 1984,Kit Green tells Jacques Vallée he once interviewed a soldier that specialized in nuclear security testing whose group used helicopters designed to appear as flying saucers.,[],[]
May 1984,"Alleged CIA documents show the Army’s remote viewing program at the time investigated an anomalous event during classified military trials. “...It had to do with time or something; like the connective tissue of reality was twisted in some way, pulled apart. It was very much like something popped in our reality.”",[],[]
5 May 1984,"An anonymous source claims to a journalist that a highly classified U.S. Defense Support Program spy satellite detects a UAP. It comes within 1.8 miles of the DSP satellite before flying below it over the Indian Ocean. It is moving 22,000 mph, changes course, and",[],[]
16 May 1984,"Army Dir. of Counterintelligence LTC Lance R. Cornine writes in a FOIA response that the Army briefly had an “in-house” group known as the “Interplanetary Phenomenon Unit” that unofficially analyzed UAP in the 1950s. The Directorate denied the existence of any IPU records, but three years later admitted records were transferred to the Air Force Office of Special Investigations. In 1997, AFOSI told FOIA requestors that its IPU material had been destroyed.",[],[]
28 June 1984,Residents of the Hudson Valley area of New York say they see a boomerang shaped UAP that traveled at treetop level with a slight buzz.,[],[]
24 July 1984,"Security police at Indian Point Nuclear Plant at Buchanan, NY allegedly see a UAP with lights oscillating yellow, white and blue. The plant’s movement sensors and alarm fails, and the computer responsible for security and communications fails. Police report it the length of three football fields and shaped like a cone. It passes directly over Unit 3 reactor for five minutes, and one officer films the object on camera. Over the next two days, the U.S. Nuclear Regulatory Commission (NRC) reportedly reassigns the plant’s security operations and video and audio records of the event are removed.",[],"['The NRC was born out of the Atomic Energy Commission (AEC) alongside the Energy Research and Development Administration (ERDA) in 1975. ERDA became the Department of Energy (DOE) in 1977. If AEC played a prominent role in early UAP analysis, crash recovery and transportation, key evidence may be split between these successor departments and agencies. The NRC for example was aware of a black triangular UAP over the protected area of Cooper Nuclear Station, NE in the late 1980s, and created an incident file. No formal investigation appears to have been conducted.']"
7 August 1984,"USAF representative John Rittenhouse admits to Rep. John F. Seiberling and the House Subcommittee on Lands and National Parks that the Air Force restricted public access to Groom Mountain, NV without any legal authority to do so. The area overlooks Area 51. When asked for an explanation of why or how, Rittenhouse did not give one, only telling Congress “decisions were made at a much, much higher level than mine” in the open hearing.",[],[]
,"**1984/1985** — Technical Sgt. John W. Mills III, of the 394th Intercontinental Ballistic Missile Test Maintenance Squadron at Vandenberg AFB, states he was shown a highly classified film of three Minuteman III dummy warheads (Multiple Independently-targeted Reentry Vehicles, MIRVs) in flight during a test at Vandenberg. On the film, a small white object maneuvered near the warheads; two of them disappeared, one of them splashed down at the target site. Mills states contractors at Rockwell Autonetics Division, Space Data Corp, or Lockheed (he wouldn’t specify to protect their identity) showed him the film.",[],[]
20 May 1985,"BDM Intl’s McLean Secure Facility hosts the “Advance Theoretical Physics Conference,” under DOE supervision, to determine if UAP evidence supports an R&D program, to collect new data and obtain “direct contact” between the group and UAP occupants. The meetings are classified using DOE controls: Top Secret/Restricted Data Sigmas as Required. Leaked meeting notes write that security for the group be “totally legal.” Astronomer Jacques Vallée writes that alleged participants were from Los Alamos National Laboratory, CIA, NSA, INSCOM, McDonnell Douglas, BDM, Lockheed and OUSD(R&E). To this date, DOE has not released any records of these meetings through FOIA to the American public, nor did it provide any information to the GAO report requested by Rep. Steven Schiff in 1995.",[],[]
Summer 1985,"Hal Puthoff, former head of the Army and DIA remote viewing programs, gives two weeks notice and leaves SRI International to work for Bill Church and Jupiter Technologies to explore “alternative fuel sources.” Church, the CEO of Church’s Fried Chicken, claims he had a dream of a saucer landing before funding Jupiter. Jupiter scientist Ken Shoulders claims exotic vacuum objects studied at Jupiter could be a source of alternative energy.",[],[]
11 June 1985,"President Ronald Reagan alludes to a secret space fleet in an entry in his diary. He states he ate lunch with five top space scientists and it was “fascinating.” “I learned our shuttle capacity is such that we could orbit 300 people,” he wrote. Attendees were Thomas O. Paine, Riccardo Giaconni, Gerard K. O’Neill, Laurel L. Wilkening, Edward Teller, Donald T. Regan, George A. Keyworth II, Alfred H. Kingon and John A. Svahn. Contractor Geostar Corp. is also mentioned.",[],[]
6 July 1985,"Ret. USAF Col. Richard Niemtzow tells Jacques Vallée there is a secret project to study UAP within USG. They meet in Toulouse, France.",[],[]
1985,"A proposed procurement programs document suggests the Department of Defense plans to spend $80 million on an “Aurora” program in FY1986 and $2.3 billion in FY1987. This is more than double the cost of the B-2 Spirit program at the time and was rumored to be an advanced black aircraft, possibly triangular in shape. In 1994, former head of Lockheed Skunk Works stated the line item was funding for a stealth bomber program, but that has not been corroborated.",[],[]
April 1986,"McDonnell Douglas, Rockwell International and General Dynamics were awarded an estimated $35 million each in contracts to develop a hypersonic air-breathing single-stage-to-orbit vehicle, while Rocketdyne and Pratt & Whitney were awarded $175 million each to develop engines/propulsion. The X-30 National Aerospace Plane (NASP) plan was considered ambitious at the time and was canceled in 1993.",[],[]
22 June 1986,Former Bechtel Corp contractor James McCampbell tells Jacques Vallée he met a military contact with the Wild Weasels who used F-4 planes with EM detection equipment that detected UAP during the Vietnam War and continued that role in the US as of the 1980s.,[],[]
24 July 1986,"Director of the US General Accounting Office’s National Security and International Affairs Division, Frank C. Conahan, testifies at a hearing held by the Subcommittee on Oversight and Investigations, House Committee on Energy and Commerce. Conahan states Lockheed Corporation exhibited a poor document-control system over classified special access documents and had no oversight from the DOD program office.",[],[]
10 November 1986,"Pathfinder Partners, a national security VC fund, co-founder Steve Millard hosts a UAP study group in Silicon Valley that includes Jacques Vallée,",[],[]
December 1986,"Navy Commander “Sheila Mondran” is on duty at the U.S. Space Command’s Surveillance Center inside the Cheyenne Mountain Complex near Colorado Springs, CO. “Mondran” claims sensors detect a UAP tripping the U.S. Navy Space Surveillance System, the Space Fence, over Lake Kickapoo, TX. The facility tracks the UAP doing complex maneuvers including loops, crash dives and fast climbs. She claims to send a flash alert to the Commander-in-Chief of NORAD, but the object then disappears. The flash alert is allegedly recalled the next day.",[],[]
7 July 1987,"Naval physicist Bruce Maccabee states he spoke about the UAP subject at CIA headquarters to two dozen people including Ron Pandolfi and Kit Green; Maccabee states the lecture created “spies” within the agency, i.e. employees using their clearances to nose around and find secret UAP information and projects. Maccabee doesn’t know if any findings were discovered.",[],[]
29 December 1987,"CIA and civilian pilot John Lear, Nevada State Sen. candidate and son of William Lear, founder of Lear Siegler Corp, claims the USG has been “in business” with gray extraterrestrials since the 1960s.",[],[]
April 1988,"NY-based Veritay Technology, Inc. submits a technical report under contract with the Air Force Astronautics Laboratory at Edwards AFB. Franklin Mead, head of Project Outgrowth 16 years earlier, is listed as the project manager for Veritay’s paper on a 21st Century",[],"['This study is meaningful because it shows that in the PUBLIC DOMAIN, Edwards AFB could not recreate the Brown effect based on the work of Thomas Townsend Brown, the very effect Mark McCandlish testified (see 9 May 2001) was used to develop USG recreations of UAP craft.']"
April 1988,"Science Applications International Corp (SAIC) studies electronic propulsion for Edwards AFB, again for Franklin Mead, Chief of the Future Technologies Section (see June 1972 and April 1988). According to SAIC investigator Dennis Cravens, assistant director of Los Alamos National Laboratory’s Center for Explosive Technology Research Pharis Williams was essential to the research.",[],"['Pharis Williams has several indirect ties to UAP research. Los Alamos colleague Oke Shannon told a journalist in 2019 “if we were to build an anti-gravitational device, it would be built on the principles involved in \\[Williams’\\] theory.” Shannon attended the 1985 “Advanced Theoretical Physics Conference” under DOE supervision led by USAF Col. John Alexander to determine if UAP evidence supported an R&D program. The meetings were held at BDM Intl’s McLean Secure Facility and classified using DOE controls (see second note under 28 April 2006). Shannon’s name was also mentioned on the alleged meeting notes between Dr. Eric Davis and VADM Thomas R. Wilson where a secret UAP program was discussed (see 16 October 2002).']"
23 October 1988,"Kit Green meets Jacques Vallée at the Detroit airport, they spoke for a “long time” over dinner, at his house, etc. Green assures Vallee “there was indeed an MJ12,” which had employed the list of scientists ufologists believed including Menzel and it reported to Truman",[],[]
23 October 1988,"Rancher Edmound Gomez, whose ranch is 13 miles west of Dulce, claims to have seen “combat ready troops” in the area and the crash of an experimental aircraft in 1983. Gomez claims to have visited Mt. Archuleta with NM State Trooper Gabe Valdez on 23 October 1988, and they saw a bright boomerang shaped UAP, and later two bright lights on a canyon wall near the summit of the mountain; the group alleges to have heard voices as well.",[],[]
12 November 1988,Aerospace researcher Michael Schratt claims this was the date of a test of a diamond shaped “lifting body” at Norton Air Force Base in California. Schratt claims,[],[]
January 1989,"John Lear claims a source “Mike” told him he was taken two hours from Norton AFB to an underground installation and told he was to photograph a flying saucer and autopsy of three dead ET; Mike was boosted into opening of the disc and inside looked to be 10 times the size of the outside “I could have thrown a football as hard as I could and not hit the other side”; (Puthoff, Davis describe this as topological inversion); photographed control panels; photographed 5 foot tall aliens with almost normal human heads with more rounded eyes, white skin and blue uniforms; inside of aliens had green fluid and black innards; Mike’s companion later disappeared.",[],[]
January 1989,"Bill English claims he sees a memo from USAF Col. Wendelle Stevens which details **Project Blue Book** officials J. Allen Hynek and Lt. Col. Robert Friend had an awareness of crash recoveries, body recovery, human mutilation of military officials, entities that eat liquid chlorophyll, language similar to Sanskrit.",[],[]
January 1989,"“Alan Caviness” claims when he was on active duty with the US Navy at Cecil Field Naval Air Station in Florida a colleague of his told him two F-14s from a squadron at Roosevelt Roads Naval Air Station in Puerto Rico were ‘lost,” not from a midair collision but from something he wouldn’t discuss.",[],[]
15 May 1989,"Robert Lazar speaks publicly on KLAS-TV in Las Vegas, NV for the first time. Lazar claims he was employed at S-4, a facility near Groom Lake/Area 51 adjacent to Papoose Lake. Lazar claims the site has concealed aircraft hangers in a mountain side and nine flying saucers are stored there, where scientists are working to reverse engineer their antigravity propulsion systems. Lazar claims one saucer was found on an archeological dig, and another is metallic in appearance. Lazar claims the power plants inside the craft are so advanced they defy conventional understanding and do not use circuits or electricity.",[],[]
June 1989,"USAF Capt. Richard P. Osedacz writes an unclassified paper at the Air Force Institute of Technology at Wright-Patterson AFB stating a database of UAP in near-Earth orbit exists and has existed since at least 1972. UAP events tracked by NORAD are termed “fastwalkers.” Osedacz writes NORAD tasked the USAF Foreign Technology Division, Flight Performance Division (FTD/SQDF) to analyze unknown datatracks.",[],"['On 6 January 1967, **Project Blue Book** scientific advisor J. Allen Hynek told a crowd at the Goddard Space Flight Center that NORAD and SAC radar had tracked UAP. Beginning in 1957 with the establishment of NORAD’s command headquarters at Ent AFB in Colorado Springs, CO, every continental U.S. military radar UAP case in **Project Blue Book** files is a NORAD case because the subordinate USAF Air Defense Command belongs to NORAD.', 'As noted on the entry for September 1979, NORAD refused to share UAP data in response to a FOIA request without charging $294,000. The fees were never waived and the data, despite seemingly unclassified as Capt. Osedacz suggests, was never made public.']"
July 1989,"Commanding Officer of WPAFB Brig. Gen. Arthur Exon states “the Unholy Thirteen” was a UFO controlling committee in the 1950s and states he was told Roswell was recovery of an “alien” spacecraft. Says bodies could have been taken to Denver, but also suggests they went to Wright Field. He states members included USAF Sec. Stewart Symington, USAF Chief of Staff Carl Spaatz, Gen. Eisenhower, Gen. Ramey, etc.",[],[]
11 July 1989,"Hal Puthoff tells Jacques Vallée “nobody with any brains seems to be tracking this,” but Vallee disagrees with him.",[],[]
17 September 1989,"Jacques Vallée writes there is a “large disinformation campaign” surrounding UAP but he still cannot find exactly what it is covering up. Vallee writes that Art Lundahl of NPIC, Kit Green, Adm. William Houser and Gen. Tommy Johnson all told him they didn’t think a black project was active, but it is unknown if they were obfuscating or unaware.",[],[]
28 September 1989,"An anonymous USAF Col. states (to anthropologist George Dickson) a SDI weapon was used to down a UAP in Moriches Bay, Long Island; the craft crashed into the “Dune” area where it was retrieved; he claims there were 18 military fatalities when the occupants retaliated; they were killed by the use of a weapon which generates extremely low frequency sound waves which can destroy the molecular cohesiveness of known matter.",[],[]
October 1989,"NASA mission specialist Bob Oechsler meets retired RADM Sumner Shapiro under the pretext he is interested in working with the “group” that manages UAP information. Oechsler gets the intro to Shapiro from Bobby Ray Inman, former NSA Director and CIA Deputy Director and Board member of SAIC and Wackenhut at the time. When Oechsler meets Shapiro he is retired as former director of Naval Intelligence, and works as an executive with BDM Intl.",[],"['BDM has several linkages to UAP besides employing Shapiro (see 26 September 2022). In 1988, BDM was purchased by Ford Aerospace and became a part of Ford Motor Company. In 1990, Ford Aerospace was sold to Loral and BDM was spun off to the Carlyle Group. In 1997, BDM was purchased by TRW, an aerospace and technical services company, which was acquired by Northrop Grumman in 2002. Northrop Grumman maintains a major corporate facility in Tysons Corner near the old BDM Intl. headquarters today.']"
1990,"Sgt. Dan Sherman, while working on an NSA project with a USAF ELINT cover, claims he is told that there is another level of secrecy above Special Access Program for certain projects. He claims certain black SAPs are actually covers for “alien” projects known as Level 1; grey projects; grey matter or slant missions. He is told within grey projects there is as expected",[],[]
1990,"Henry Azadehdel (pseudonym Armen Victorian) interviews Eric Walker, former president of Penn State University and former chairman of the Institute for Defense Analysis, of which ARPA came out of. The alleged transcript claims Walker told Azadehdel that entry into a UAP “control group” cannot occur unless an individual knows about their “seventh sense,” i.e. ESP. Walker states “only a few” know about ESP and only then would you have a chance of being taken into the control group.",[],[]
1990,"Jane’s Defense writer James Goodall cites direct interviews conducted over the previous decade that led him to believe there are at least eight black programs flying out of Groom Lake including a silent triangle. “Unconventional” technologies are in use. A source he knew for 12 years at Groom Lake told him “positively” that UAP exist, and another source told him “we have things out there that are literally out of this world…better than Star Trek or anything you can see in the movies.” No further explanation is given.",[],[]
1990,"Lt. Col. Ron Blackburn of Lockheed Martin Skunk Works and co-founder of the ATP Group, tells Jacques Vallée he was directly involved in the construction of",[],[]
1990,"A ret. physicist who claims to have worked closely with Oppenheimer, Einstein and Teller states in 1990 that he worked on a special project at Edwards AFB in the late 1960s/early 1970s on **Project Blue Heaven**. The source states a flying saucer and its crew landed at Edwards AFB and its occupants were carted off to a secure building for evaluation. The disc was kept in a big hangar with armed guards with possibly hundreds of people working on it.",[],[]
21 February 1990,"Japanese journalist Norio Hayakawa states the US Naval Research Laboratory has a “Parapsychology Research Unit” that coordinates activities with DARPA, and some of their activities are conducted under the Office of Naval Intelligence at locations such as Area 51. ELF devices, scalar machines, EM beam weapons and highly defined hologram projects are being explored for “mind control weaponry” and include research in hallucinatory and memory tampering drugs. He also claimed a “deep black” aircraft project existed at Groom Lake that was not Aurora but something else.",[],[]
March 1990,NATO’s Advisory Group for Aerospace Research and Development (AGARD) publishes a study that states a “gyroscopic propulsive device” can counteract gravity. One such device existed at the time and was patented in the UK to E.J.C. Rickman. BAE Systems studied this design in May 1990 and found weight loss occurred after one trial at the company’s Warton plant.,[],[]
,"**Mid-1990s** — Disclosure Project founder and alleged Clinton Administration briefer Steven Greer alleges he meets the following people in a salon in the Pacific Heights neighborhood of San Francisco: Steven Bechtel of Bechtel Corp., billionaire oil tycoon Gordon Getty, the chairman of AT&T and the former head of SRI International to discuss UAP. Greer states the unnamed SRI executive told him DARPA funds were funneled into a UAP-associated operation but he couldn’t get access.",[],[]
August 1990,DL Cravens of SAIC produces an electric propulsion study to test coupling between the electromagnetic and gravitational forces to determine if it can apply to space propulsion.,[],[]
6 September 1990,"A Penn State alumni claims former Penn State University president Eric A. Walker told him he attended Top Secret meetings to do with UAP investigations and UAP crash recoveries. Walker allegedly attended the meetings while Executive Secretary of the Research and Development Board (RDB), headed by Vannevar Bush, whose name was linked to a Canadian intelligence report alleging an RDB connection to UAP (see 31 January 1948). Walker would neither confirm nor deny the claims when asked by CIA officer Christopher “Kit” Green.",[],[]
1 October 1990,"William Scott writes an article in Aviation Week about 45 sightings in the southwestern US. Objects show near-hover capabilities before accelerating to supersonic. Scott concludes there are at least two types of aircraft beyond the F-117A and the B-2, claiming one is triangular shaped and the other is a high-altitude craft seen with a pulsing light. Scott claims they are using “exotic” propulsion systems, and sightings occur near Edwards AFB, George AFB and the China Lake Naval Weapons Center. In one instance, an unidentified triangular craft was seen escorted by two Lockheed F117-As.",[],[]
1991,"Senior staff counsel to Sen. Robert Byrd, Dick D’Amato, tells Jacques Vallée: “what that stealthy group is doing is a felony…for a government employee to knowingly disseminate false information to the public is an offense that should send him to jail. The Government can’t spend appropriated money on projects that Congress doesn’t know about; it’s an even greater offense if they spend private money to do it…whatever the secret project, it must be controlled by an incredible level of fear because nobody dares talk about it. I find no leaks anywhere.”",[],[]
1991,"A caller into the Billy Goodman show on KVEG in 1991 claims he was hired to run electricity and power 3,000 feet underground on a “certain test site,” involving military personnel and creatures with “big heads and little bodies.” The caller claims he was assigned the job by Reynold’s Electronics, a subsidiary of EG&G, but his paycheck comes from “someone else.”",[],[]
1991,"USS Nimitz Petty Officer Kevin Thomas claims he sees a “huge black triangle” lifting out of the ocean when he was accidentally left on deck after the ship was ordered to darken the ship and clear the decks. Thomas says it had no water dripping off it, made no sound and it",[],[]
