date,description,source,source_link,triplets
10 December 1964,"“AK,” a PFC on guard duty at the Motor Pool at Fort Riley, KS claims on this date he and other guards were ordered to hike a half mile across an open field while a searchlight beam from an overhead Huey was focused ahead on a “large round object” resting on the ground; the air was warm near the craft, it had impacted the soil and stood at a tilt, was perfectly round and shaped like a hamburger bun; in the middle of the craft at its equator was a black band made up of squares, and a fin-like device protruded from one end.",,,"[('Fort Riley', 'located in the administrative territorial entity', 'KS')]"
,"**Late 1964** — USAF Lt. Col. Philip E. Moore states that while at Walker AFB, NM, he was on duty in one of the 579th Strategic Missile Squadron’s underground Atlas ICBM launch control capsules. Moore was at 579 Site 7 when he and his commander Maj. Dan Gilbert got a call from 579 Site 6 or Site 8, south-southeast of Roswell, NM, that a UAP was hovering over their location. It would hover, rapidly leave, and then return. The hovering was reported by crew as “instantaneous” movement from Site 6 to Site 8 and back, repeatedly.",,,"[('Atlas', 'subclass of', 'ICBM')]"
17 May 1965,Jacques Vallée states a Martin Marietta engineer visited him and became upset when someone present saw some of his papers they should not have.,,,"[('Martin Marietta', 'occupation', 'engineer')]"
,"**31 July 1965-2 August 1965** — A declassified USAF memo shows UAP activity at F. E. Warren AFB’s missile sites. Written by Col. Donald W. Johnson, it states 148 objects were reported by 143 personnel.",,,"[{'head': 'USAF', 'type': 'subsidiary', 'tail': 'Warren AFB'}, ('Warren AFB', 'parent organization', 'USAF')]"
10 December 1965,"An anonymous Air Force security team member at Lockbourne AFB near Columbus, OH states he guarded an object on 10 December 1965 after it arrived from Pennsylvania. He states it was there for the morning and sent to WPAFB. Another source, a truck driver, states he saw a flatbed trailer with an object shaped like a “bell” under a tarp sitting upright.",,,"[('Lockbourne AFB', 'located in the administrative territorial entity', 'Ohio')]"
18 January 1966,"Two surveyors are taking readings at China Lake Naval Ordnance Test Station (now Naval Air Weapons Station China Lake) see a UAP flying straight at them from the north. It passes overhead less than 150 feet, dives smoothly, turns east and comes within 10 feet of the ground before flying over the horizon. The surveyors say it is traveling at 150mph, dull black, quiet and its presence interfered with their radio. They also have a theodolite and notice the gravity reference indicator exhibits an “odd” change.",,,"[{'head': 'China Lake Naval Ordnance Test Station', 'type': 'replaced by', 'tail': 'Naval Air Weapons Station China Lake'}, ('Naval Air Weapons Station China Lake', 'replaces', 'China Lake Naval Ordnance Test Station')]"
3 April 1966,Rep. Gerald R. Ford states the Air Force assured him an upcoming scientific study on UAP (what would become the Condon Committee) would not be connected “in any way” with the Air Force. Ford was dissatisfied with **Project Blue Book** and was seeking an independent analysis.,,,"[{'head': 'Condon Committee', 'type': 'different from', 'tail': 'Project Blue Book'}, ('Project Blue Book', 'different from', 'Condon Committee')]"
5 April 1966,USAF Maj. Hector Quintanilla tells the House Armed Services Committee that **Project Blue Book** had “no radar cases which are unexplained.”,,,"[('Hector Quintanilla', 'military branch', 'USAF')]"
21 July 1966,"The FBI tells multiple U.S. citizens UAP is not and “never has been a matter that is within \[its\] investigative jurisdiction.” This contradicts many now declassified files including a 1957 memorandum where SAC Kansas City writes the FBI Director about a film of a UAP taken by a U.S. citizen, suggesting it be retrieved, sent to HQ and coordinated with AFOSI. The FBI also admits in a 1952 memo that it did “conduct some investigations regarding flying saucers,” but reached an agreement with USAF to refer cases to them on 27 September 1947.",,,"[('SAC Kansas City', 'parent organization', 'FBI')]"
23 July 1966,Jacques Vallée states he and colleagues received a letter from an aerospace engineer asking them to send their 20 best cases to a “mysterious group of scientists” from Wright Field. This was not **Project Blue Book** but something else.,,,"[('Wright Field', 'field of work', 'aerospace engineer')]"
,"**1966** — A radar technician, the father of “Paul” in Michigan, claims he witnessed a disc crash at a radar facility affiliated with Area 51 in Cedar City, Utah.",,,"[('Area 51', 'headquarters location', 'Cedar City, Utah')]"
,**1966-1967** — Ret. USAF pilot Warren Botz in 1966 and journalist Jack D. Pickett in 1967 state they see USAF-decaled flying disc craft with tail fins at MacDill AFB.,,,"[('MacDill AFB', 'operator', 'USAF')]"
,"**1967** — Source “AF” claims his brother Pete saw a saucer in a hangar at Naval Air Base in Yuma, AZ in 1967; he states Pete took photos, got into trouble and went AWOL and fled to Mexico. AF later states Pete was approached by an “agency” and wants to avoid attention.",,,"[('Naval Air Base', 'located in the administrative territorial entity', 'Yuma, AZ')]"
,"**1967** — McDonnell Douglas Corporation physicist Robert M. Wood states he is assigned the task of exploring breakthroughs in gravity propulsion. The project includes laboratory evaluation of hypotheses, field observations and examination of UAP literature. Four full-time and three part-time employees make up the project code-named **BITBR (Boys in the Back Room)**.",,,"[('Robert M. Wood', 'employer', 'McDonnell Douglas Corporation')]"
1 March 1967,"USAF Lt. Gen. Hewitt T. Wheless writes a memo about “Impersonations of Air Force Officers,” which states men in uniform are approaching U.S. citizens who have seen UAP and told them not to talk about the sighting and they did not see what they thought they saw. The memo requests any sightings of these men to be sent to AFOSI. One U.S. citizen, Rex Heflin, claimed a man with a badge from NORAD confiscated his photos of a flying disc.",,,"[('Rex Heflin', 'country of citizenship', 'U.S.')]"
3 July 1967,"Marine “RT” with Alpha Red TS Crypto Clearance states he was at a CR site in 1967 where he departed from Camp Pendleton to a retrieval site “somewhere in the desert” on 3 July 1967. When he landed there were tents and a pre-fab hangar and at the site were men in fatigues without insignia. RT was assigned guard duty. RT states he looked inside the hangar and saw a metallic disc with a dome on top with no windows, around the craft were men at work and tables with technical instruments. A large walk-in refrigerator unit on skids had several empty body bags.",,,"[('Alpha Red', 'instance of', 'Crypto Clearance')]"
,"**1968** — M.S. Cahn and G.M. Andrew of Northrop Norair publish a paper on Electroaerodynamics in Supersonic Flow, suggesting Northrop was researching methods to reduce the",,,"[('Northrop Norair', 'field of work', 'Electroaerodynamics')]"
,"**1968** — A study from Frank Rand, Arthur Lundahl, Gen. James Stewart, Brockway McMillan and Kelly Johnson for President Lyndon B Johnson states there is no doubt UAP exist and are under control; there may have well been some “harmless probes” sent to Earth from other civilizations “beyond our solar system.”",,,"[('Lyndon B Johnson', 'position held', 'President')]"
14 February 1968,"USAF chief reconnaissance scientist at MITRE Corporation, F. Robert Naka, tells Robert Low that NORAD radars track UAP “coming in from outer space.” He states NORAD has already tracked such objects.",,,"[('Robert Naka', 'employer', 'MITRE Corporation')]"
,"**March 1968** — The Defense Intelligence Agency monitors a crashed “circular metal disc” recovered in Nepal. Four months later, a State Dept. cable subject line “Moon Dust” (referring to a covert USAF **Project Moon Dust** at the time to recover space debris) writes to the DIA, 1127th at Ft. Belvoir, WPAFB, Andrews AFB and MacDill AFB that a diplomatic visit to Kathmandu was a “fishing expedition” for info on “space objects.”",,,"[{'head': 'Andrews AFB', 'type': 'operator', 'tail': 'USAF'}, ('MacDill AFB', 'operator', 'USAF')]"
15 November 1968,"The Condon Committee, funded by the USAF, releases an extensive report on 90 UAP sightings to the National Academy of Sciences and later to the American public. It concludes “nothing has come from the study of UFOs” in the last two decades and further study “cannot be justified.” **Project Blue Book** scientific advisor J. Allen Hynek later wrote the Committee ignored key evidence and could not explain over a quarter of the cases examined.",,,"[('Project Blue Book', 'publisher', 'National Academy of Sciences')]"
,"**1969** — A former intelligence officer tells Jacques Vallée the National Bureau of Standards (now the National Institute of Standards and Technology, NIST) once conducted an investigation into UAP as early as 1943 under Hugh L Dryden, which also looked into German research into jet aircraft. They were already aware UAP interfered with combustion engines due to EM effects.",,,"[('Hugh L Dryden', 'employer', 'National Institute of Standards and Technology')]"
24 October 1969,"A Chilean informant claims a Chilean Navy destroyer witnessed six objects that approached the ship, one larger than the destroyer. The objects were cube and egg-shaped, and electromagnetic interference was reported. The next morning, the ship arrived in Valparaiso, Chile, four U.S. naval attaches spoke with the Chilean officers on duty the night before, were told they didn’t see anything and interrogated for two days until they signed NDAs. Source claims they were threatened if they ever spoke about it.",,,"[{'head': 'Chilean Navy', 'type': 'country', 'tail': 'Chile'}, ('Valparaiso', 'country', 'Chile')]"
,"**1970** — Author William Torbitt (a pseudonym for David Copeland, a lawyer in Waco, TX) claims several intelligence community sources give him information on a group running counterintelligence operations for advanced aerospace (and possibly UAP-related) projects: the Defense Industrial Security Command and a CIA front company located in Switzerland Permindex. Torbitt claims DISC’s offices are at 3990 East Broad Street, Columbus, OH and Redstone Arsenal.",,,"[('Permindex', 'country', 'Switzerland')]"
5 April 1970,"Internal McDonnell Douglas documents state **Project Skylite** was a pitched effort to replicate UAP observables that didn’t materialize. The term “DFO” or “Douglas Flying Object” is given as a reference to the concept of creating a craft that mimics UAP behavior. Bob Wood, Chan Thomas, Paul Wilson, Joe Brown and Stanton Friedman are all names attached to the proposed project that ultimately received no funding.",,,"[('Project Skylite', 'manufacturer', 'McDonnell Douglas')]"
,"**January 1971** — Author Preston Nichols claims he begins working for AIL-Eaton, a defense contractor on Long Island. He claims he begins working on a series of exotic",,,"[('Preston Nichols', 'work period (start)', 'January 1971')]"
,"**January 1971** — Alleged AIL-Eaton contractor Preston Nichols claims experiments in consciousness manifestation began at Camp Hero, culminating with the “Montauk Chair,” which could change thought into reality. Nichols claims **Project Phoenix III** worked on time travel aspects of consciousness manifestation, and teleportation to other locations began in 1982. Nichols claims **Project Rainbow** began in 1983 and accidentally manifested an entity that destroyed some of the base and its personnel, thereby ending psychic operations at Camp Hero.",,,"[{'head': 'AIL-Eaton', 'type': 'owned by', 'tail': 'Preston Nichols'}, ('Preston Nichols', 'owner of', 'AIL-Eaton')]"
,"**June/July 1971** — U.S. Navy Yeoman Third Class James M. Kopf is on the USS John F. Kennedy in the Caribbean Sea completing an Operational Readiness Exercise when communications messages begin coming in garbled. Ship radar, compasses and electrical systems then stop working. Kopf and others go outside and see a large, pulsating orange sphere sitting silently above the ship. It lasts for about 20 minutes. Two days later, commanding officer Capt. Ferdinand B. Koch tells the crew certain events are to be considered classified.",,,"[('USS John F. Kennedy', 'location', 'Caribbean Sea')]"
,"**May 1972** — **Project Blue Book** scientific advisor J. Allen Hynek writes that **Blue Book** was a “cover up” and that the UAP problem was “glossed over.” Hynek said he felt his hands were tied, and if he complained, the USAF and Pentagon would pull his access to case files as retribution.",,,"[{'head': 'USAF', 'type': 'parent organization', 'tail': 'Pentagon'}, ('Pentagon', 'subsidiary', 'USAF')]"
,"**June 1972** — An ad hoc group with Franklin Mead, Senior Aerospace Engineer with the Air Force Aerospace Research Laboratories, is editor of a technical report on **Project Outgrowth** at the Air Force Rocket Propulsion Library at Edwards Air Force Base. An entire chapter of the report is devoted to Antigravity Propulsion, utilizing the concepts of gravitational screens and a unified field theory.",,,"[('Air Force Rocket Propulsion Library', 'location', 'Edwards Air Force Base')]"
,"**June 1972** — Ingo Swann meets Hal Puthoff and participates in a remote viewing magnetometer experiment with SRI and three months later the CIA awards SRI a $50,000 contract.",,,"[{'head': 'Ingo Swann', 'type': 'spouse', 'tail': 'Hal Puthoff'}, ('Hal Puthoff', 'spouse', 'Ingo Swann')]"
7 October 1972,"Jacques Vallée states Hal Puthoff mentioned a former colleague of Puthoff’s at the NSA told him a “fresh study” of UAP was secretly underway. Puthoff subsequently put Vallee in touch with Howell McConnell; on 21 February 1973, Puthoff mentioned he met officials in Washington in a position to discover the “true state of affairs.” Puthoff stated by late 1973 he identified the leader of a CIA UAP group that monitored the field.",,,"[('Howell McConnell', 'employer', 'NSA')]"
28 October 1972,Jacques Vallée writes that that NSA official Howell McConnell told him he’d heard an office at WPAFB conducted secret analyses of UAP even after **Blue Book** ended; he stated he heard the office confiscates evidence.,,,"[('Howell McConnell', 'employer', 'NSA')]"
,"**May 1973** — USAF Col. William T. Coleman and Col. George Weinbrenner allegedly meet with Hollywood documentary filmmaker Robert Emenegger and producer Allan Sandler and encourage them to make a documentary on UAP and its extraterrestrial origin. They are told they’ll have the government’s full cooperation and exclusive access to classified footage of a UAP landing in 1971 at Holloman AFB, NM. Coleman and Weinbrenner claim the film shows “alien visitors” and their meeting with members of the U.S. government. Emenegger is told there are multiple extraterrestrial groups and the military is monitoring at least one other group the Holloman entities don’t know about. After pre-production, permission to use the landing film is withdrawn.",,,"[('Holloman AFB', 'located in the administrative territorial entity', 'NM')]"
,"**June 1973** — Great Lakes Naval Base instructor RK states a UAP was shot down by the US Navy with a surface to air missile, retrieved from the ocean and taken in secret by rail to the Great Lakes Naval Base under heavy guard. RK states he guarded the object in Chicago and it was shot down in the Pacific; it was in a large quonset hut. While on guard, he was approached by an officer in a jeep who handed him a sealed envelope for the Commandant in the hut, to which he saw a metallic craft, 30 feet long and 10 feet high resting on a wooden platform.",,,"[('Great Lakes Naval Base', 'operator', 'US Navy')]"
,"**October 1973** — Sgt. Michael D. Jenkins, 96th Security Police Squadron at Dyess AFB, TX worked security over nuclear-armed B-52 bombers. The base had a nuclear weapons storage area as well. Jenkins states he and his squadron were ordered to draw arms from the armory and patrol after a large spherical UAP was seen over the weapons storage area. Jenkins states he heard an order to “move it out of the area,” afterward hearing gunfire and seeing a “streak of bluish-white light moving at high speed” out of the base. “It was the UFO getting out of there,” he states. Jenkins and others were told not to speak about the incident under penalty of court-martial.",,,"[('96th Security Police Squadron', 'headquarters location', 'Dyess AFB')]"
11 October 1973,Civilians Charles Hickson and Calvin Parker claim they see an oval UAP and are taken aboard the craft by “robots” for examination near the Pascagoula River in,,,"[('Pascagoula River', 'located in the administrative territorial entity', 'Calvin Parker')]"
27 October 1973,"Hal Puthoff tells Jacques Vallée there was a “secret” UAP project that called him from time to time to see if RV could help find UAP bases; he added “they have an official charter,” and said it was run by someone named “David M.” Hal later said the unit was being disbanded because of “current events.” Puthoff later told him a “biologist” was in charge of the effort at the CIA that David M used to run, states a Mary S. was involved too.",,,"[('Hal Puthoff', 'employer', 'CIA')]"
28 December 1973,Sen. Barry Goldwater states he was denied access to UAP information at Wright-Patterson AFB when specifically asking about a “room” where it was stored. Goldwater says he was told by USAF Gen. Curtis LeMay cussed him out and said “don’t ever ask me that question again.”,,,"[('Curtis LeMay', 'military branch', 'USAF')]"
,"**1974** — A Sgt. X claims he was told by a retired US Army official at Camp San Luis Obispo that information of a crashed saucer and recovered occupants would be released by the USG within three months; Leonard Stringfield claims he heard other sources tell him that an announcement was expected in late 1974, possibly by President Gerald Ford and the President of France Giscard d’Estaing; Walter Andrus of MUFON stated he was told to join Allen Hynek of CUFOS in Chicago in a press conference if official word was made; it never occurred.",,,"[('Giscard d’Estaing', 'position held', 'President of France')]"
,"**1974** — Kit Green states that as early as 1974 with CIA life sciences, he worked with Uri Geller and nuclear scientists at Lawrence Livermore National Laboratory; these individuals saw orbs in their homes, entities, etc.",,,"[('Uri Geller', 'employer', 'Lawrence Livermore National Laboratory')]"
11 February 1974,Jacques Vallée states he met Kit Green and discussed Green’s connections in the Executive branch and IC that were interested in UAP; Vallee noted he could not tell J. Allen Hynek because Puthoff asked Vallee not to share anything.,,,"[('Kit Green', 'member of political party', 'UAP')]"
,"**March 1974** — A large self-illuminated object hovers above the Romeo-29 launch facility at the Malmstrom AFB Romeo Flight missile alert facility near Brady, MT. A missile launch officer with the 564th Strategic Missile Squadron reports a nuclear missile countdown is started, and the officer flips the “inhibit” switch to turn the system offline. The system then restarts spontaneously and the missile again goes into launch mode; the officer’s next “inhibit” order doesn’t work. Fortunately, the launch code is false and the missile remains in its pad.",,,"[('Romeo Flight', 'location', 'Malmstrom AFB')]"
,"**April 1974** — An employee at government contractor GEC-Marconi claims a break-in occurred one night that month. A guard on duty allegedly suffers a nervous breakdown after claiming to see a non-human being in the secure facility looking through files. A blue light emanated from its helmet and it dematerialized before the guard’s eyes. The employee overhears her supervisor say “We have no way of keeping these beings out. We just don’t know what to do next. If they can get in here, they can get in anywhere.” It is unknown if this event was investigated by British or U.S. authorities considering GEC-Marconi was a key contractor for the USG’s **Strategic Defense Initiative** “Star Wars program” over the next decade.",,,"[('Star Wars program', 'operator', 'USG')]"
2 June 1974,Hal Puthoff relays a message from Kit Green to Jacques Vallée: there is a group of 12 highly placed people in government who have decided to create a focus for the study of UAP.,,,"[('Kit Green', 'member of political party', 'UAP')]"
16 June 1974,Jacques Vallée states he sat down with Kit Green and wondered if their discussions on UAP were a “cover” for the CIA’s “newest gadgets” and he was being disinformed by Green.,,,"[('Kit Green', 'employer', 'CIA')]"
17 July 1974,"Maj. Dallas van Hoose, Army spokesman at Redstone Arsenal, states “unexplained aerial phenomena” were observed during ballistic missile exercises the previous year. In one incident in August 1973, he stated, Vandenberg AFB launched a Minuteman ICBM to Kwajalein missile range; on its descent at 400,000 feet, radar scanners began tracking a UAP next to the ICBM nose cone. Radar picked up an inverted saucer-shaped object to the right and above the nose cone, and watched it pass in front of the warhead (while maintaining its speed) below and to the left before disappearing. In addition to Maj. Hoose, none of the experts journalists spoke to could explain the event. Ufologist Barry Greenwood later stated he filed FOIA inquiries for records and Vandenberg replied that the records were destroyed and unavailable.",,,"[('Minuteman ICBM', 'subclass of', 'ballistic missile')]"
10 December 1974,Jacques Vallée states Kit Green “reluctantly” told him there was a group of 15 engineers in the Midwest (Vallee assumed McDonnell in St. Louis) that was secretly doing UAP research for the CIA under the cover of “aeronautical research.”,,,"[('Kit Green', 'employer', 'CIA')]"
14 March 1975,"Lt. Col “X” of Carswell AFB states underground facilities and isolated areas of military reservations have squadrons of unmarked helicopters with sophisticated instrumentation on board and are dispatched to areas of UAP activity. He states in the “earlier years” some bodies were taken to WPAFB but later, bodies were taken elsewhere depending on where CR occurred; he states some bodies are being flown to a “secret naval installation” on an island in the Pacific Ocean.",,,"[('island', 'located in or next to body of water', 'Pacific Ocean')]"
28 March 1975,"Sen. Barry Goldwater writes to a researcher and states UAP information was “still classified above Top Secret” at the time. Goldwater reiterates he was denied access to a room at WPAFB where some information is stored, and states he heard there is a plan to release some if not all of the information in the “near future.”",,,"[('Top Secret', 'instance of', 'classified')]"
,"**April 1975** — Air Force Archives at Maxwell AFB, AL withdraw **Project Blue Book** files from public access. Some documents deemed embarrassing to the USAF are allegedly destroyed, and redactions are made on the original paper files.",,,"[('Air Force Archives', 'location', 'Maxwell AFB')]"
13 April 1975,J. Allen Hynek states Donald Rumsfeld told him at the White House he did “not” have a need to know if there was a secret UAP study somewhere after **Blue Book**.,,,"[('Donald Rumsfeld', 'employer', 'White House')]"
26 April 1976,"A CIA teletype admits “offices and personnel within the Agency” monitor UAP phenomena, but not on an official basis. The document says the efforts of independent researchers are “vital for further progress,” implying the Agency may have monitored U.S. citizens’ own investigations into UAP.",,,"[{'head': 'CIA', 'type': 'field of work', 'tail': 'UAP'}, ('CIA', 'field of work', 'UAP')]"
,"**1977** — USAF Sgt. M.S. of the 97th Bomber Wing claims while serving at WPAFB in 1977, he made the acquaintance of a Maj. Gen. whose last name begins with the letter “T” assigned for security work in the Logistics Command; his daughter dated M.S. M.S. claims Gen. T. Told him a UAP crashed in the Southwest in 1957, four bodies were recovered and badly burned but their silver spacesuits were not damaged and fused to the flesh, and sent to WPAFB for deep freeze; the heads were larger than the bodies but facial features were erased by the heat; a CR team got into the craft through a fissure in the shell; it was transported by rail using cover as “classified rockets” to WPAFB.",,,"[('97th Bomber Wing', 'military branch', 'USAF')]"
,"**1977** — Attorney Daniel P. Sheehan at the request of Congressional Research Service researcher Marcia S. Smith claims to visits the Madison Building at the Library of Congress to look at “classified sections of **Project Blue Book**.” Sheehan claims to see photos of a flying disc embedded in snow surrounded by USAF personnel wearing parkas. Symbols are present on the side of the crashed disc. If true, this contradicts findings of **Blue Book** delivered to Congress and the American people stating a lack of physical evidence was a key reason why UAP were not worthy of future study.",,,"[{'head': 'Congressional Research Service', 'type': 'parent organization', 'tail': 'Library of Congress'}, ('Library of Congress', 'subsidiary', 'Congressional Research Service')]"
,"**November 1977** — USAF Security Alert Team member Mario A. Woods Jr., stationed at Ellsworth AFB, SD, states he flashed a spotlight at a possible UAP to attempt to communicate and it responded. Hours later, Woods and his team partner responded to an penetration alarm on the outer zone of the site, witnessed the UAP at a distance and again directly over the site. It was a red-orange sphere “constantly swirling and churning.”",,,"[('Ellsworth AFB', 'located in the administrative territorial entity', 'SD')]"
13 December 1977,NASA Chief of Ground Operations Safety writes the NASA Administrator about UAP stating “what could be a piece of a UFO” was examined for over two months at Los Alamos National Laboratory.,,,"[{'head': 'NASA', 'type': 'subsidiary', 'tail': 'Los Alamos National Laboratory'}, ('Los Alamos National Laboratory', 'parent organization', 'NASA')]"
,**1978** — Journalist/ufologist John Keel states the CIA had a covert investigation of UAP contactees in the 1960s named **Project Windfall**; he claimed it was enmeshed in bureaucratic confusion.,,,"[('John Keel', 'field of work', 'ufologist')]"
,"**1978** — A USAF technician tells Randall Clement that he worked at an underground facility in Colorado Springs, CO and saw the remains of a dismembered and charred alien humanoid.",,,"[('USAF', 'location of formation', 'Colorado Springs, CO')]"
,"**1978** — USAF officer in Detroit allegedly tells a college student he heard a coded message to another base in Ohio about a crash near the Ohio-Michigan border with two dead bodies and one still alive, retrieved.",,,"[{'head': 'Ohio', 'type': 'shares border with', 'tail': 'Michigan'}, ('Michigan', 'shares border with', 'Ohio')]"
5 January 1978,"A McDonnell-Douglas engineer tells Jacques Vallée in private he is compiling a new close encounter database; Douglas has an ongoing secret project, well funded, with the blessing and official monitoring of the CIA and they’re discretely connected with major UAP groups. Robert M. Wood headed a project at Douglas at the time.",,,"[('Robert M. Wood', 'employer', 'McDonnell-Douglas')]"
17 January 1978,An internal NASA memo admits the agency is running a UAP hard evidence analysis program “UFOHEAP” that collects alleged materials from UAP for NASA analysis.,,,"[('UFOHEAP', 'operator', 'NASA')]"
18 January 1978,"Alleged USAF Incident/Complaint Form shows a UAP sighting incident and body recovery at Ft. Dix and McGuire AFB. The form states it was distributed to Col. Landon and Brig. Gen. Brown at AFOSI. It states a UAP sighting occurred over Ft. Dix and an “unidentified being had been shot by Dix MPs.” “Some kind of body found” and the area was cordoned off, and recovery teams notified.",,,"[('Alleged USAF Incident/Complaint Form', 'main subject', 'UAP sighting incident and body recovery')]"
19 January 1978,"The State Department replies to a FOIA request for UAP documents that it cannot locate any. On 2 February 1978, the requestor sends the State Dept. one document that was leaked in a periodical to prove UAP-related cables exist. Over the next few years,",,,"[('UAP-related cables', 'instance of', 'FOIA')]"
8 June 1978,"Jacques Vallée writes that a call from someone at McDonnell-Douglas told him “they” have an ongoing secret project, well funded, blessed with official",,,"[{'head': 'John F. Kennedy School of Government', 'type': 'part of', 'tail': 'Harvard University'}, ('Harvard University', 'subsidiary', 'John F. Kennedy School of Government')]"
,"**August 1978** — Author Leonard H. Stringfield states a military source “Mr. J.J.,” who allegedly served in Nike Missile Air Intelligence (ADCAP), told Stringfield Wright-Patterson AFB, Langley AFB and MacDill AFB held “alien craft,” and claimed UAP projects were conducted at Langley Avon Bombing Range and Seymour-Johnson Navy Training Center. The source claimed WPAFB had a centralized database of these projects.",,,"[('Langley Avon Bombing Range', 'part of', 'Langley AFB')]"
19 September 1978,NASA Associate Administrator for Space Sciences Noel Hinners testifies to the House Committee on Science and Technology with respect to “extraterrestrial intelligence research.” Hinners makes extensive references to the search for ETI using telescopes and the possibility of life somewhere else in the Universe.,,,"[('Noel Hinners', 'position held', 'NASA Associate Administrator for Space Sciences')]"
8 December 1978,"The United Nations votes 33/426 to establish an agency or department of the UN to study UAP, failing to pass the draft resolution. Former **Project Blue Book** consultants J. Allen Hynek and Jacques Vallée speak to the UN Special Political Committee, which is not interested in the formal study of UAP. Public records on these meetings show no sitting element of the DOD or U.S. intelligence community spoke in support of the resolution, despite the fact that the Air Force, Navy and NORAD are all on record having monitored UAP events over the prior decade.",,,"[{'head': 'United Nations', 'type': 'has part', 'tail': 'UN Special Political Committee'}, ('UN Special Political Committee', 'part of', 'United Nations')]"
15 December 1978,"Brad Sparks and Todd Zechel claim the CIA conducted “emergency” studies of UAP in 1952, 1957, 1965 and 1967 in secret utilizing Domestic Contact Service agents during a number of UAP flaps. Zechel and Sparks claim CIA is selectively responding to FOIA requests to avoid releasing all UAP files in its possession.",,,"[('Domestic Contact Service', 'parent organization', 'CIA')]"
15 December 1978,"Brad Sparks and Todd Zechel also claim the following: CIA officials in charge of the paranomal/extrasensory departments provide covert funding from CIA/DIA “black” slush funds to select UAP researchers through money laundering and cut-outs, and Kit Green issued an “order” to take UAP “off the record” within the IA to prevent Agency interest in the subject from being disclosed.",,,"[{'head': 'CIA', 'type': 'subsidiary', 'tail': 'DIA'}, ('DIA', 'parent organization', 'CIA')]"
20 December 1978,"Rep. Samuel S. Stratton tells the House Armed Services Investigations Subcommittee he is concerned about the “alleged ability of unknown aircraft to penetrate airspace and over above SAC bases, their weapons storage areas, missile sites, and launch control facilities, and the inability of Air Force equipment and personnel to intercept and identify such aircraft. Stratton writes to USAF Maj. Gen. Charles C. Blanton requesting UAP nuclear incident reports, to which USAF Legislative Liaison Joseph J. F. Clark replies that “permanent” UAP files are not maintained.",,,"[{'head': 'SAC', 'type': 'part of', 'tail': 'Air Force'}, ('Air Force', 'has part', 'SAC')]"
,"**1979** — **Project Blue Book** scientific advisor J. Allen Hynek states the CIA’s Robertson Panel was concerned of public reaction to UAP, and “handed down” the “unwritten law of the Air Force…don’t rock the boat, play it down, cool it, don’t get the public excited.” Hynek states the USAF purposefully debunked interesting cases as balloons, stars, etc, findings that then made their way to Congress and the public.",,,"[('Robertson Panel', 'part of', 'CIA')]"
,"**1979** — Jacques Vallée states he is “convinced” the USG is still very much involved with UAP, but not limited to collection; it extends into close monitoring of UAP organizations, the staging of false sightings and the leaking of “false” documents.",,,"[{'head': 'Jacques Vallée', 'type': 'member of political party', 'tail': 'UAP'}, ('Jacques Vallée', 'member of political party', 'UAP')]"
,"**1979** — Dale Graff ran a smaller RV program at WPAFB, who employed the remote viewer Rosemary Smith (possibly mentioned in the VADM Wilson notes). Graff next moved to the Advanced Concepts Office at the DIA and tabloids suggest he was involved in the “dark side” of psi and ESP programs, including maintaining contact with the human designee of an extraterrestrial living in a subterranean facility near Washington, DC.",,,"[('Dale Graff', 'employer', 'DIA')]"
,"**1979** — Durward ‘Buddy’ Hack, CPO Radar Observer, claims to have accidentally entered a door of a large hangar that was unguarded at Naval Air Station in Sunnyvale, CA in 1950 and saw a large, round saucer with a row of windows. Haak disappeared with no trace on a flight out of San Diego in 1952, and the story was relayed by his family in 1979.",,,"[('Naval Air Station', 'located in the administrative territorial entity', 'Sunnyvale, CA')]"
,**February 1979** — Rep. Horace Buckley’s Mississippi House Resolution No. 14 calls for a complete U.S. Senate investigation into UAP. It dies in committee. Lawmakers did not have,,,"[('Mississippi House Resolution No. 14', 'point in time', 'February 1979')]"
16 February 1979,Memo from FBI SAC Albuquerque to FBI Director writes that New Mexico State Police officer Gabe Valdez claims the Department of Energy and Los Alamos National Laboratory are attempting to “cover up” the cattle mutilation phenomenon.,,,"[{'head': 'Department of Energy', 'type': 'subsidiary', 'tail': 'Los Alamos National Laboratory'}, ('Los Alamos National Laboratory', 'parent organization', 'Department of Energy')]"
5 April 1979,"Robert Thompson, friend of former USAF Maj. Truman Weaver, states 13 bodies and two saucers are stored at a small air base at Hampton Roads, Virginia “if they have not been moved again.” He states they are in building 18F on the 3rd floor.",,,"[('Hampton Roads', 'located in the administrative territorial entity', 'Virginia')]"
,"**May 1979** — Former special assistant to the Deputy Director of the CIA, Victor Marchetti, writes that “we have, indeed, been contacted — perhaps even visited — by extraterrestrial beings, and the U.S. government, in collusion with other national powers of the Earth, is determined to keep this information from the general public. He states the CIA does not discuss UAP openly because they are “sensitive activities,” and claims the NSA may have picked up signals intelligence related to crashed UAP. Marchetti states it is a cover-up.",,,"[('Victor Marchetti', 'position held', 'Deputy Director of the CIA')]"
